country,life_expec,child_mort_log,total_fer,gdpp_log,health,inflation_log,exports_log,imports_log,cluster
Afghanistan,56.2,4.513054897080286,5.82,6.317164686747284,7.58,2.3456445824544927,2.3978952727983707,3.8264651170664994,2
Albania,76.3,2.8678989020441064,1.65,8.316544717929398,6.55,1.7029282555214391,3.367295829986474,3.903990833730882,1
Algeria,76.5,3.342861804649192,2.89,8.403128235128264,4.17,2.8390784635086144,3.673765816303888,3.478158422798284,1
Angola,60.1,4.787491742782046,6.16,8.169336395928386,2.85,3.152736022363656,4.147885329150131,3.7819143200811256,2
Antigua and Barbuda,76.8,2.424802725718295,2.13,9.409273194575334,6.03,0.8919980393051105,3.8394523125933104,4.092676505121403,0
Argentina,75.8,2.740840023925201,2.37,9.239996256883693,8.1,3.086486636822455,2.990719731730447,2.833213344056216,1
Armenia,73.3,2.9496883350525844,1.69,8.0774471493312,4.4,2.171336806384092,3.0819099697950434,3.835141961092188,1
Australia,82.0,1.7578579175523736,1.93,10.857093336791094,8.73,0.7701082216960736,3.0349529867072724,3.086486636822455,0
Austria,80.5,1.667706820558076,1.44,10.75579427616868,11.0,0.6275414234619514,3.956996371070877,3.8877303128591016,0
Azerbaijan,69.1,3.693866995624976,1.92,8.67265729404031,5.88,2.694627180770069,4.012772908528289,3.077312260546414,1
Bahamas,73.8,2.694627180770069,1.86,10.239995502805316,7.89,-0.3314596947976687,3.58351893845611,3.7999735016195233,0
Bahrain,76.0,2.26176309847379,2.16,9.937937287265354,4.97,2.132982308607866,4.255612709818223,3.949318790171843,1
Bangladesh,70.4,3.919991175077323,2.33,6.63200177739563,3.52,2.096790180014449,2.833213344056216,3.126760535960395,1
Barbados,76.7,2.7212954278522306,1.78,9.680406499268877,7.97,0.2783890255401883,3.701301974112493,3.906004933102583,0
Belarus,70.4,1.8718021769015916,1.49,8.704668113450987,5.61,2.778819271990417,3.958906591326997,4.182050142641207,1
Belgium,80.0,1.7047480922384253,1.86,10.70101727068921,10.7,1.0577902941478543,4.3489867805956814,4.326778160443404,0
Belize,71.4,2.9856819377004897,2.71,8.375860015299594,5.2,0.76080582903376,4.0809215418899605,4.069026754237811,1
Benin,61.8,4.718498871295094,5.36,6.63200177739563,4.1,0.6339278208999741,3.210843653170937,3.6428355156125294,2
Bhutan,72.1,3.777348102101545,2.38,7.687538766201629,5.2,1.944480556245719,3.7727609380946383,4.272490747605575,1
Bolivia,71.6,3.8628327612373754,3.2,7.591357046698551,4.84,2.280339484046726,3.742420221041966,3.563882963939251,1
Bosnia and Herzegovina,76.8,2.066862759472976,1.31,8.436200032206706,11.1,0.8754687373538999,3.4242626545931514,3.956996371070877,0
Botswana,57.1,3.979681653901961,2.88,8.756367559802975,8.3,2.294552921296781,3.7977338590260175,3.956996371070877,1
Brazil,74.2,3.0349529867072724,1.8,9.32375833901174,9.01,2.2417729535972883,2.4595888418037104,2.5494451709255714,1
Brunei,77.1,2.4423470353692043,1.84,10.471666571132038,2.84,2.873564639579784,4.225372824628505,3.367295829986474,1
Bulgaria,73.9,2.468099531471619,1.57,8.830689198760998,6.87,0.7466879474879752,3.9357395320454622,3.9889840465642745,0
Burkina Faso,57.9,4.762173934797756,5.87,6.356107660695892,6.74,2.0554049638515948,3.005682604407159,3.4210000089583352,2
Burundi,57.7,4.549657476057832,6.26,5.44673737166631,11.6,2.5877640352277083,2.294552921296781,3.693866995624976,2
Cambodia,66.1,3.8155121050473024,2.88,6.668228248417403,5.68,1.415853163361435,4.009149716158869,4.102643365036796,1
Cameroon,57.3,4.691347882229144,5.11,7.1785454837637,5.13,1.0681530811834012,3.1441522786722644,3.332204510175204,2
Canada,81.3,1.88706964903238,1.63,10.766398604507042,11.3,1.3532545070416904,3.40452517175483,3.4657359027997265,0
Cape Verde,72.5,3.3141860046725258,2.67,8.105005537547246,4.09,0.408792898200839,3.517497837358316,4.139955073474153,1
Central African Republic,47.5,5.010635294096256,5.21,6.102558594613569,3.98,1.1019400787607845,2.5494451709255714,3.3141860046725258,2
Chad,56.5,5.017279836814924,6.59,6.8001700683022,4.53,2.0001277349601105,3.632309102625542,3.7954891891721942,2
Chile,79.1,2.272125885509337,1.88,9.465060106725137,7.96,2.298577071596507,3.655839600035736,3.475067230228611,1
China,74.6,2.815408719422709,1.59,8.4252971767117,5.07,2.0719132752590443,3.3068867021909143,3.1612467120315646,1
Colombia,76.4,2.975529566236472,2.01,8.740496729931813,7.59,1.5810384379124025,2.827313621929028,2.933856869835904,1
Comoros,65.9,4.490881039585964,4.75,6.646390514847729,4.51,1.5830939370944983,2.862200880929469,3.964615455547317,2
"Congo, Dem. Rep.",57.5,4.762173934797756,6.54,5.814130531825066,7.91,3.0819099697950434,3.740047740688336,3.92395157629342,2
"Congo, Rep.",60.4,4.1728476237100445,4.95,7.916078096302786,2.46,3.077312260546414,4.455509411433685,4.019980146933238,1
Costa Rica,80.4,2.4159137783010487,1.92,9.012011377036412,10.9,2.0241930674493576,3.53222564406856,3.58351893845611,0
Cote d'Ivoire,56.3,4.718498871295094,5.27,7.107425474110705,5.3,1.8547342683894437,3.943521672487517,3.7909846770510898,2
Croatia,76.3,1.8718021769015916,1.55,9.510519035757246,7.76,0.5993858007454709,3.653252276470785,3.66612246699132,0
Cyprus,79.9,1.5260563034950492,1.42,10.335302435967074,5.97,1.1019400787607845,3.9357395320454622,4.069026754237811,0
Czech Republic,77.5,1.4816045409242156,1.51,9.893487720457795,7.88,-0.8878912573524571,4.204692619390966,4.157319361383489,0
Denmark,79.5,1.62924053973028,1.87,10.968215530759236,11.4,1.439835128047921,3.9415818076696905,3.7977338590260175,0
Dominican Republic,74.6,3.5667118201397288,2.6,8.603554357064281,6.22,1.8625285401162623,3.1654750481410856,3.535145354171894,1
Ecuador,76.7,3.261935314328648,2.66,8.446985296372741,8.06,2.136530508663963,3.3638415951183864,3.5085558999826545,1
Egypt,70.5,3.40452517175483,3.19,7.8636512654486515,4.66,2.4069451083182885,3.104586678466073,3.317815772723105,1
El Salvador,74.1,3.005682604407159,2.27,8.003363058629947,6.91,1.2947271675944,3.32862668882732,3.8628327612373754,1
Equatorial Guinea,60.9,4.718498871295094,5.21,9.746892220313054,4.48,3.254242968705492,4.463606621666305,4.092676505121403,1
Eritrea,61.7,4.028916756899646,4.61,6.180016653652572,2.66,2.533696813957432,1.7561322915849038,3.190476350346503,2
Estonia,76.0,1.7047480922384253,1.72,9.588845298501564,6.03,1.007957920399979,4.33204826486764,4.244200317766478,0
Fiji,65.3,3.2228678461377385,2.67,8.202756381655638,4.86,1.6544112780768316,4.074141854904581,4.1728476237100445,1
Finland,80.0,1.3862943611198906,1.87,10.740756721857226,8.95,0.3008450589780618,3.681351187693145,3.648057459593681,0
France,81.4,1.6486586255873816,2.03,10.611547975828367,11.9,0.7178397931503169,3.3250360206965914,3.370738174177447,0
Gabon,62.9,4.169761201506855,4.08,9.076923258535832,3.5,2.8678989020441064,4.072439726834051,2.990719731730447,1
Gambia,65.5,4.398146016553765,5.71,6.333279628139691,5.69,1.667706820558076,3.210843653170937,3.777348102101545,2
Georgia,72.8,2.862200880929469,1.92,7.993282328101591,10.1,2.256541154492639,3.58351893845611,3.9852734671677386,1
Germany,80.1,1.6486586255873816,1.39,10.640675541671662,11.6,0.5641767992629853,3.768152635008444,3.6402142821326553,0
Ghana,62.2,4.326778160443404,4.27,7.1785454837637,5.22,2.8678989020441064,3.417726683613366,3.8480176754522337,2
Greece,80.4,1.589235205116581,1.48,10.199918739620156,10.3,0.514618422004687,3.139832617527748,3.456316680883235,0
Grenada,71.3,2.747270914255491,2.24,8.905308661189288,5.86,0.3920420877760237,3.210843653170937,3.9160150266976834,1
Guatemala,71.3,3.594568774642695,3.38,7.9483852851118995,6.85,1.814824742159051,3.288401887516811,3.6189933266497696,1
Guinea,58.0,4.700480365792417,5.34,6.47543271670409,4.93,2.8390784635086144,3.4436180975461075,3.788724789083653,2
Guinea-Bissau,55.6,4.74493212836325,5.05,6.306275286948016,8.5,1.3787660946990992,2.766319109226186,3.5890591188317256,2
Guyana,65.5,3.653252276470785,2.65,8.019941687677365,5.38,1.9065751436566365,3.958906591326997,4.383275854074314,1
Haiti,32.1,5.342334251964811,3.33,6.496774990185863,6.91,1.864080130807681,2.791165107812717,4.185098925490565,2
Hungary,74.5,1.9459101490553128,1.25,9.48044384215367,7.33,1.2029723039923526,4.416428061391214,4.350277936359301,0
Iceland,82.0,1.2809338454620642,2.2,10.643064971973882,9.4,1.867176108512809,3.996364153861897,3.7909846770510898,0
India,66.2,4.091005660956586,2.6,7.208600337960199,4.05,2.300583090323373,3.1612467120315646,3.3357695763397,1
Indonesia,69.9,3.535145354171894,2.48,8.042699496897637,2.61,2.791165107812717,3.2308043957334744,3.152736022363656,1
Iran,74.5,3.0106208860477417,1.76,8.784315349902657,5.6,2.827313621929028,3.2347491740244907,3.0155349008501706,1
Iraq,67.2,3.634951112088381,4.56,8.412054873292933,8.41,2.8678989020441064,3.698829784967105,3.55820113047182,1
Ireland,80.4,1.6486586255873816,2.05,10.793454842740768,9.19,-1.439835128047921,4.6443908991413725,4.471638793363569,0
Israel,81.4,1.7227665977411035,3.03,10.328787967145065,7.63,1.0188473201992472,3.58351893845611,3.5234150143864045,0
Italy,81.7,1.6094379124341005,1.46,10.485731104959568,9.53,0.2768738737351776,3.265759410767051,3.339321977944068,0
Jamaica,74.7,2.9496883350525844,2.17,8.45126704130007,4.81,2.3804716316511167,3.475067230228611,3.92395157629342,1
Japan,82.8,1.4350845252893227,1.39,10.703266939811954,9.49,-1.0647107369924282,2.772588722239781,2.681021528714291,0
Jordan,75.8,3.095577608523707,3.66,8.210939733379021,8.04,2.2438960966453663,3.897924081048645,4.248495242049359,1
Kazakhstan,68.4,3.1135153092103742,2.6,9.112837790614943,4.29,3.0204248861443626,3.8110970868381857,3.4307561839036995,1
Kenya,62.8,4.146304301152812,4.37,6.875232087276577,4.75,1.128171090909654,3.077312260546414,3.543853682063679,2
Kiribati,60.7,4.154184562578117,3.84,7.307202314764738,11.3,0.924258901523332,2.660259537265861,4.393213824064446,2
Kuwait,78.2,2.468099531471619,2.21,10.55843949396453,2.63,2.501435951739211,4.215086179918229,3.446807892914208,1
Kyrgyz Republic,68.5,3.4210000089583352,3.1,6.78105762593618,6.18,2.3978952727983707,3.962716119743664,4.415219602029645,1
Lao,63.8,4.380775852772229,3.15,7.039660349862076,4.47,2.322387720290225,3.594568774642695,3.918005077105693,1
Latvia,73.1,2.174751721484161,1.36,9.332646496360152,6.68,-0.5944312076207876,4.001863709427935,4.027135812528651,0
Lebanon,79.8,2.424802725718295,1.61,9.089414904047302,7.03,0.2134971742624043,3.605497845174885,4.11414718951828,0
Lesotho,46.5,4.612145799724517,3.3,7.065613363597717,11.1,1.6389967146756448,3.698829784967105,4.624972813284271,2
Liberia,60.8,4.50313746042294,5.02,5.793013608384144,11.8,1.867176108512809,3.0007198150650303,4.539030383483547,2
Libya,76.1,2.8678989020441064,2.41,9.401043372798052,3.88,2.7212954278522306,4.198704577546343,3.763522997109702,1
Lithuania,73.2,1.9600947840472696,1.5,9.39274525863144,7.04,1.2178757094949273,4.194189897191817,4.222444564849416,0
Luxembourg,81.3,1.33500106673234,1.63,11.561725152903833,7.77,1.5303947050936475,5.170483995038151,4.962844630259907,0
"Macedonia, FYR",74.0,2.4336133554004498,1.47,8.420902531097951,7.09,1.1118575154181305,3.708682081410116,4.079230924412053,0
Madagascar,60.8,4.146304301152812,4.6,6.025865973825314,3.77,2.281361456542419,3.258096538021482,3.784189633918261,2
Malawi,53.1,4.516338972281476,5.31,6.131226489483141,6.59,2.5726122302071057,3.169685580677429,3.580737295494233,2
Malaysia,74.5,2.186051276738094,2.15,9.112837790614943,4.39,2.1126345090356,4.476199804691132,4.276666119016055,1
Maldives,77.9,2.653241964607215,2.23,8.867990898182093,6.33,1.355835153635182,4.364371699435161,4.1956970564823886,0
Mali,59.5,4.927253685157205,6.55,6.563855526532128,4.98,1.6808279085207734,3.169685580677429,3.586292865338835,2
Malta,80.3,2.0541237336955462,1.36,9.957075711706056,8.65,1.574846467664481,5.0369526024136295,5.043425116919247,0
Mauritania,68.2,4.589040804058207,4.98,7.090909822079984,4.41,2.990719731730447,3.945457781514384,4.130354999745133,1
Mauritius,73.4,2.772588722239781,1.57,8.987321812850125,6.0,0.7561219797213337,3.955082494888593,4.146304301152812,0
"Micronesia, Fed. Sts.",65.4,3.713572066704308,3.46,7.95892649305011,14.2,1.5686159179138452,3.198673117550681,4.406719247264253,2
Moldova,69.7,2.9014215940827497,1.27,7.396948602621014,11.7,2.4932054526026954,3.693866995624976,4.375757021660286,1
Mongolia,66.2,3.299533727885655,2.64,7.8826922062890254,5.44,3.693866995624976,3.864931397894296,4.055257173514054,1
Montenegro,76.4,2.0541237336955462,1.77,8.807022955925477,9.11,0.9555114450274363,3.6375861597263857,4.154184562578117,0
Morocco,73.5,3.5409593240373143,2.58,7.9483852851118995,5.2,0.681074599325676,3.502549875922443,3.784189633918261,1
Mozambique,54.5,4.624972813284271,5.56,6.040254711277414,5.21,2.1564025828159643,3.481240089335692,3.8543938925915096,2
Myanmar,66.8,4.180522258463153,2.41,6.8966943316227125,1.97,2.0844290831908747,0.1034587083682299,0.063819512712954,2
Namibia,58.6,4.04305126783455,3.6,8.55468163582723,6.78,1.5173226235262949,3.8877303128591016,4.122283930911342,1
Nepal,68.3,3.871201010907891,2.61,6.385194398997726,5.25,2.778819271990417,2.3589654264301534,3.6216707044204863,2
Netherlands,80.7,1.7047480922384253,1.79,10.825780236605915,11.9,0.6141039732194925,4.290459441148391,4.168214410788556,0
New Zealand,80.9,1.9740810260220096,2.17,10.425282789490703,10.1,1.5539252025038417,3.4436180975461075,3.367295829986474,0
Niger,58.8,4.820281565605037,7.49,5.855071922202427,5.16,1.2669476034873244,3.1441522786722644,3.914021008090819,2
Nigeria,60.5,4.875197323201151,5.84,7.754052639035757,5.07,4.653960350157523,3.269568939183719,2.91235066461494,2
Norway,81.0,1.4350845252893227,1.95,11.382828169079987,9.48,1.9387416595767009,3.7062280924485496,3.3843902633457743,0
Oman,76.1,2.5416019934645457,2.9,9.867912187022208,2.77,2.8094026953624978,4.200204952921578,3.742420221041966,1
Pakistan,65.3,4.533674184283021,3.85,6.947937068614969,2.2,2.476538400117484,2.6741486494265287,3.0155349008501706,2
Panama,77.8,3.030133700271324,2.62,8.997270906233448,8.1,1.2781522025001877,4.262679877041316,4.37197629882038,0
Paraguay,74.1,3.2228678461377385,2.73,8.080546965824498,5.87,1.9600947840472696,4.027135812528651,3.960813169597578,1
Peru,77.9,3.05870707271538,2.54,8.521384396034705,5.08,1.9035989509835904,3.3603753871419,3.210843653170937,1
Philippines,69.0,3.493472657771326,3.16,7.664346632098617,3.61,1.6524974018945473,3.5779478934066544,3.6270040503958487,1
Poland,76.3,1.9459101490553128,1.41,9.441531454869692,7.46,0.9783261227936076,3.716008121502189,3.763522997109702,0
Portugal,79.8,1.589235205116581,1.39,10.021315031649332,11.0,0.496523839055131,3.4307561839036995,3.648057459593681,0
Qatar,79.5,2.302585092994046,2.07,11.160541302448651,1.81,2.0769384114617173,4.147885329150131,3.210843653170937,1
Romania,73.7,2.525728644308256,1.59,9.015662792972645,5.58,1.5107219394949425,3.5145260669691587,3.683866912290392,1
Russia,69.2,2.3978952727983707,1.57,9.278092474027002,5.08,2.7212954278522306,3.407841924380824,3.095577608523707,1
Rwanda,64.6,4.168214410788556,4.51,6.335054251498059,10.5,1.2837077723447896,2.5649493574615367,3.4339872044851463,2
Samoa,71.5,2.990719731730447,4.34,8.146419323098003,6.47,1.000631880307906,3.407841924380824,3.990834185852436,1
Saudi Arabia,75.1,2.815408719422709,2.96,9.867912187022208,4.29,2.9014215940827497,3.92395157629342,3.5263605246161616,1
Senegal,64.0,4.216562194946349,5.06,6.90875477931522,5.66,1.0473189942805592,3.254242968705492,3.720862499966987,2
Serbia,74.7,2.151762203259462,1.4,8.596189197642735,10.4,1.928618651945252,3.5234150143864045,3.8897773964808255,0
Seychelles,73.4,2.734367509419584,2.17,9.287394001418471,3.4,-1.6505798557652755,4.551769409260976,4.691347882229144,0
Sierra Leone,55.0,5.081404364984463,5.2,5.991464547107982,13.1,2.9014215940827497,2.87919845729804,3.56953269648137,2
Singapore,82.7,1.33500106673234,1.15,10.74937727911096,3.96,-0.0449733656427311,5.303304908059076,5.1647859739235145,0
Slovak Republic,75.5,2.079441541679836,1.43,9.717218213494077,8.79,0.3954147722546629,4.3476939555933765,4.366912996863833,0
Slovenia,79.5,1.4350845252893227,1.57,10.060534035475412,9.41,-0.6866259635696798,4.178992036282385,4.157319361383489,0
Solomon Islands,61.7,3.370738174177447,4.24,7.1631723908466425,8.55,2.0554049638515948,3.918005077105693,4.409155302062135,1
South Africa,54.3,4.001863709427935,2.59,8.893023494394711,8.94,1.9947003132247447,3.387774361330014,3.3463891451671604,2
South Korea,80.1,1.62924053973028,1.23,10.003378135350925,6.93,1.425515074273172,3.919991175077323,3.8543938925915096,0
Spain,81.9,1.5686159179138452,1.37,10.332050506334692,9.54,0.1484200051182733,3.277144732992177,3.3250360206965914,0
Sri Lanka,74.4,2.501435951739211,2.2,7.941295570906532,2.94,3.169685580677429,3.025291075795536,3.3250360206965914,1
St. Vincent and the Grenadines,71.6,3.077312260546414,2.07,8.737292112544221,4.47,1.6937790608678511,3.32862668882732,4.062165663857866,1
Sudan,66.3,4.3528552573736015,4.88,7.300472814267799,6.32,3.025291075795536,3.030133700271324,2.9014215940827497,2
Suriname,70.3,3.2228678461377385,2.52,9.024131268455037,7.01,2.1041341542702074,3.979681653901961,3.673765816303888,1
Sweden,81.5,1.3862943611198906,1.98,10.860939421415225,9.63,0.6886370250820592,3.8543938925915096,3.730501128804756,0
Switzerland,82.2,1.7047480922384253,1.52,11.219909190927746,11.5,0.275356422761144,4.174387269895637,3.9945242269398897,0
Tajikistan,69.6,3.977810745966149,3.51,6.6052979209482015,5.98,2.602689685444384,2.766319109226186,4.087655574071304,2
Tanzania,59.3,4.289088639014612,5.43,6.555356891810665,6.01,2.327277705584417,2.9806186357439426,3.40452517175483,2
Thailand,76.6,2.766319109226186,1.55,8.533263371593732,3.88,1.6253112615903906,4.212127597878484,4.123903364463645,1
Timor-Leste,71.1,4.152613470346076,6.23,8.188966863648876,9.12,3.3141860046725258,1.1631508098056809,3.3603753871419,2
Togo,58.7,4.514150787600923,4.87,6.192362489474872,7.65,0.7793248768009976,3.7184382563554808,4.065602093356446,2
Tonga,69.9,2.91235066461494,3.91,8.174984532943087,5.07,1.5432981099295553,2.5952547069568657,4.115779842942166,1
Tunisia,76.9,2.91235066461494,2.14,8.328692583545568,6.21,1.572773928062509,3.9415818076696905,4.030694535145645,1
Turkey,78.2,3.0007198150650303,2.15,9.278092474027002,6.74,2.080690761080268,3.0633909220278057,3.277144732992177,1
Turkmenistan,67.9,4.143134726391533,2.83,8.398634855292102,2.5,1.1969481893889715,4.3476939555933765,3.817712325956905,1
Uganda,56.8,4.406719247264253,6.15,6.39024066706535,9.01,2.451005098112319,2.89591193827178,3.387774361330014,2
Ukraine,70.4,2.5416019934645457,1.44,7.996653875462607,7.72,2.667228206581955,3.873282177111716,3.9531649487593215,1
United Arab Emirates,76.5,2.26176309847379,1.87,10.463131911491969,3.66,2.602689685444384,4.365643155423357,4.168214410788556,1
United Kingdom,80.3,1.824549292051046,1.92,10.568775236216991,9.64,0.9439058989071284,3.374168709274236,3.459466289786131,0
United States,78.7,2.1162555148025524,1.93,10.78727575364831,17.9,0.7975071958841881,2.5952547069568657,2.8213788864092133,0
Uruguay,76.4,2.451005098112319,2.08,9.38437770918244,8.35,1.776645831418007,3.3068867021909143,3.2733640101522705,1
Uzbekistan,68.8,3.6189933266497696,2.34,7.2305631534092925,5.81,2.862200880929469,3.487375077903208,3.3843902633457743,1
Vanuatu,63.0,3.407841924380824,3.5,7.996653875462607,5.25,1.2864740258376797,3.8628327612373754,3.983413001514819,1
Venezuela,75.4,2.89591193827178,2.47,9.510519035757246,4.91,3.8480176754522337,3.3843902633457743,2.923161580719156,1
Vietnam,73.1,3.190476350346503,1.95,7.1785454837637,6.84,2.5726122302071057,4.290459441148391,4.396915247167632,1
Yemen,67.5,4.048300623720694,4.67,7.1785454837637,5.18,3.202746442938317,3.4339872044851463,3.5667118201397288,2
Zambia,52.0,4.432006566978902,5.4,7.2868764117507,5.89,2.70805020110221,3.6375861597263857,3.462606009790799,2
